"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZGP2VQ4K","book","2015","Humble, Jez; Molesky, Joanne; O'Reilly, Barry","Lean Enterprise: How High Performance Organizations Innovate at Scale","","978-1-4493-6842-5","","","","How well does your organization respond to changing market conditions, customer needs, and emerging technologies when building software-based products? This practical guide presents Lean and Agile principles and patterns to help you move fast at scale—and demonstrates why and how to apply these methodologies throughout your organization, rather than with just one department or team.Through case studies, you’ll learn how successful enterprises have rethought everything from governance and financial management to systems architecture and organizational culture in the pursuit of radically improved performance. Adopting Lean will take time and commitment, but it’s vital for harnessing the cultural and technical forces that are accelerating the rate of innovation.Discover how Lean focuses on people and teamwork at every level, in contrast to traditional management practicesApproach problem-solving experimentally, by exploring solutions, testing assumptions, and getting feedback from real usersLead and manage large-scale programs in a way that empowers employees, increases the speed and quality of delivery, and lowers costsLearn how to implement ideas from the DevOps and Lean Startup movements even in complex, regulated environments","2015-01-03","2018-10-29 16:34:17","2021-02-23 16:52:12","","","352","","","","","Lean Enterprise","","","","","O'Reilly Media","Beijing","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Lean-Enterprise-Performance-Organizations-Innovate/dp/1449368425","TT refs","","","","","","","","","","","","","","","","","","","","","1 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7Q26JIY","blogPost","2018","Skelton, Matthew","Your team's API includes: - code: REST endpoints, libraries, clients, UI, etc. - wiki / docs - especially ""How To"" guides - your approach to team chat tools (Slack/Hipchat) - anything else which other teams need to use to interact with your team It's not just about code. #DevEx","@matthewpskelton","","","","https://twitter.com/matthewpskelton/status/1022111880423395329","","2018-07-25","2018-10-29 16:12:06","2021-02-23 22:06:47","2018-10-29 16:12:06","","","","","","","","","","","","","","en","","Tweet","","","","","","","C:\Users\matth\Zotero\storage\LNZMUFKB\1022111880423395329.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TDJUQDMU","blogPost","2014","Cottmeyer, Mike","Things to Consider When Structuring Your Agile Enterprise","LeadingAgile","","","","https://www.leadingagile.com/2014/02/structure-agile-enterprise/","There are a lot of unique challenges that large organizations face when hey are trying to form Agile Teams. In this post, Mike Cottmeyer breaks down the ins and outs of Agile organizational structure.","2014-02-05","2018-10-29 13:19:36","2021-02-23 16:31:38","2018-10-29 13:19:36","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\matth\Zotero\storage\337AQ9GA\structure-agile-enterprise.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Y9SHIJX","blogPost","2018","Shibata, Kenichi","How to build a platform team now! the secrets to successful engineering","Hacker Noon","","","","https://hackernoon.com/how-to-build-a-platform-team-now-the-secrets-to-successful-engineering-8a9b6a4d2c8","TLDR; Scaling teams are hard. A platform team done right can help ease the hardships.","2018-09-29","2018-10-29 13:09:08","2021-02-23 22:04:24","2018-10-29 13:09:08","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\9DYTS98U\how-to-build-a-platform-team-now-the-secrets-to-successful-engineering-8a9b6a4d2c8.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IPWWI8M","book","2018","Perri, Melissa","Escaping the Build Trap","","978-1-4919-7379-0","","","","To remain innovative in today's market, companies have to adopt a culture of learning and customer-centric practices that are focused on outcomes rather than outputs. This book provides product managers with a practical process that focuses on finding opportunities to solve customer problems and achieve business goals. Author Melissa Perri provides a toolbox of product management principles that can be applied to any company, big or small. By understanding the secrets to communicating and collaborating within a company structure, you'll learn how to overcome product development roadblocks and build products that benefit both the business and the customer.","2018-11-30","2018-10-29 12:48:35","2021-02-23 21:52:35","","","175","","","","","","","","","","O′Reilly","S.l.","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Escaping-Build-Trap-Melissa-Perri/dp/149197379X/ref=sr_1_1?ie=UTF8&qid=1540817239&sr=8-1&keywords=The+Build+Trap","TT refs","","","","","","","","","","","","","","","","","","","","","1 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNSKAYNX","blogPost","2018","Marshall, Bob","A team is not a group of people who work together. A team is a group of people who each put the team before themselves.","@flowchainsensei","","","","https://twitter.com/flowchainsensei/status/1056838136574152704","","2018-10-29","2018-10-29 10:42:45","2021-02-23 21:30:19","2018-10-29 10:42:45","","","","","","","","","","","","","","en","","Tweet","","","","","","","C:\Users\matth\Zotero\storage\VQT2LZHI\1056838136574152704.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHHY4HWM","book","2015","Karlgaard, Rich; Malone, Michael S.","Team Genius: The New Science of High-Performing Organizations","","978-0-06-230254-0","","","","A groundbreaking book that sheds new light on the vital importance of teams as the fundamental unit of organization and competition in the global economy.Teams—we depend on them for both our professional success and our personal happiness. But isn't it odd how little scrutiny we give them? The teams that make up our lives are created mostly by luck, happenstance, or circumstance—but rarely by design. In trivial matters—say, a bowling team, the leadership of a neighborhood group, or a holiday party committee—success by serendipity is already risky enough. But when it comes to actions by fast-moving start-ups, major corporations, nonprofit institutions, and governments, leaving things to chance can be downright dangerous.Offering vivid reports of the latest scientific research, compelling case studies, and great storytelling, Team Genius shows managers and executives that the planning, design, and management of great teams no longer have to be a black art. It explores solutions to essential questions that could spell the difference between success and obsolescence. Do you know how to reorganize your subpar teams to turn them into top performers? Can you identify which of the top-performing teams in your company are reaching the end of their life span? Do you have the courage to shut them down? Do you know how to create a replacement team that will be just as effective—without losing time or damaging morale? And, most important, are your teams the right size for the job?Throughout, Rich Karlgaard and Michael S. Malone share insights and real-life examples gleaned from their careers as journalists, analysts, investors, and globetrotting entrepreneurs, meeting successful teams and team leaders to reveal some ""new truths"":  The right team size is usually one fewer person than what managers think they need.  The greatest question facing good teams is not how to succeed, but how to die.  Good ""chemistry"" often makes for the least effective teams.  Cognitive diversity yields the highest performance gains—but only if you understand what it is.  How to find the ""bliss point"" in team intimacy—and become three times more productive.  How to identify destructive team members before they do harm.  Why small teams are 40 percent more likely to create a successful breakthrough than a solo genius is.  Why groups of 7 (± 2), 150, and 1,500 are magic sizes for teams.Eye-opening, grounded, and essential, Team Genius is the next big idea to revolutionize business.","2015-08-13","2018-10-28 21:40:59","2021-02-23 16:54:56","","","304","","","","","Team Genius","","","","","HarperBusiness","New York, NY","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Team-Genius-Science-High-Performing-Organizations/dp/006230254X/ref=sr_1_1?s=books&ie=UTF8&qid=1540762849&sr=1-1&keywords=team+genius","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHTXUF96","book","2015","Burgess, Mark","Thinking in Promises","","978-1-4919-1787-9","","","","Imagine a set of simple principles that could help you to understand how parts combine to become a whole, and how each part sees the whole from its own perspective. If such principles were any good, it shouldn’t matter whether we’re talking about humans on a team, birds in a flock, computers in a datacenter, or cogs in a Swiss watch. A theory of cooperation ought to be pretty universal, so we should be able to apply it both to technology and to the workplace.Such principles are the subject of Promise Theory, and the focus of this insightful book. The goal of Promise Theory is to reveal the behavior of a whole from the sum of its parts, taking the viewpoint of the parts rather than the whole. In other words, it is a bottom-up, constructionist view of the world. Start Thinking in Promises and find out why this discipline works for documenting system behaviors from the bottom-up.","2015-07-06","2018-10-28 21:40:13","2021-02-23 16:26:40","","","194","","","","","","","","","","O'Reilly Media","Sebastopol, California","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Thinking-Promises-Mark-Burgess/dp/1491917873/ref=sr_1_1?s=books&ie=UTF8&qid=1540762796&sr=1-1&keywords=thinking+in+promises","TT refs","","","","","","","","","","","","","","","","","","","","","1 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPIZY32R","book","2015","Narayan, Sriram","Agile IT Organization Design: For Digital Transformation and Continuous Delivery","","978-0-13-390335-5","","","","Design IT Organizations for Agility at Scale   Aspiring digital businesses need overall IT agility, not just development team agility. In Agile IT Organization Design, IT management consultant and ThoughtWorks veteran Sriram Narayan shows how to infuse agility throughout your organization. Drawing on more than fifteen years’ experience working with enterprise clients in IT-intensive industries, he introduces an agile approach to “Business–IT Effectiveness” that is as practical as it is valuable.   The author shows how structural, political, operational, and cultural facets of organization design influence overall IT agility—and how you can promote better collaboration across diverse functions, from sales and marketing to product development, and engineering to IT operations. Through real examples, he helps you evaluate and improve organization designs that enhance autonomy, mastery, and purpose: the key ingredients for a highly motivated workforce.   You’ll find “close range” coverage of team design, accountability, alignment, project finance, tooling, metrics, organizational norms, communication, and culture. For each, you’ll gain a deeper understanding of where your organization stands, and clear direction for making improvements. Ready to optimize the performance of your IT organization or digital business? Here are practical solutions for the long term, and for right now.   Govern for value over predictability  Organize for responsiveness, not lowest cost  Clarify accountability for outcomes and for decisions along the way  Strengthen the alignment of autonomous teams  Move beyond project teams to capability teams  Break down tool-induced silos  Choose financial practices that are free of harmful side effects  Create and retain great teams despite today’s “talent crunch”  Reform metrics to promote (not prevent) agility  Evolve culture through improvements to structure, practices, and leadership—and careful, deliberate interventions","2015-06-14","2018-10-28 21:37:04","2021-02-23 21:39:57","","","302","","","","","Agile IT Organization Design","","","","","Addison-Wesley Professional","New York","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Agile-Organization-Design-Transformation-Continuous/dp/0133903354","TT refs","","","","","","","","","","","","","","","","","","","","","01 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSBJKQ9G","blogPost","2016","Urquhart, James","Communications and Conway’s Law","Digital Anatomy","","","","https://medium.com/digital-anatomy/communications-and-conways-law-6a1a9deae32","In my last post, I described what I see as a disruption in the way digital businesses will operate in the future:","2016-09-28","2018-10-27 07:07:36","2021-02-23 22:11:22","2018-10-27 07:07:36","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\P5SAHF4I\communications-and-conways-law-6a1a9deae32.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWF2YYHQ","newspaperArticle","2010","Urquhart, James","IT operations in a cloudy world","CNET","","","","https://www.cnet.com/news/it-operations-in-a-cloudy-world/","Understanding how cloud computing and data center virtualization are forcing change in IT operations is important to understanding how to take advantage of cloud's disruptive nature.","2010-09-15","2018-10-27 06:44:13","2021-02-23 22:11:31","2018-10-27 06:44:13","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\matth\Zotero\storage\S6PI5EAQ\it-operations-in-a-cloudy-world.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZZRD2BI","book","2010","Dunbar, Professor Robin","How Many Friends Does One Person Need?: Dunbar's Number and Other Evolutionary Quirks","","978-0-571-25342-5","","","","We are the product of our evolutionary history and this history colours our everyday lives - from why we kiss to how religious we are. In How Many Friends Does One Person Need? Robin Dunbar explains how the distant past underpins our current behaviour, through the groundbreaking experiments that have changed the thinking of evolutionary biologists forever. He explains phenomena such as why 'Dunbar's Number' (150) is the maximum number of acquaintances you can have, why all babies are born premature and the science behind lonely hearts columns. Stimulating, provocative and highly enjoyable, this fascinating book is essential for understanding why humans behave as they do - what it is to be human.","2010-02-04","2018-10-26 21:12:53","2021-02-23 16:36:18","","","320","","","","","How Many Friends Does One Person Need?","","","","","Faber & Faber","London","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Many-Friends-Does-Person-Need/dp/0571253423/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=","TT refs","","","","","","","","","","","","","","","","","","","","","Main edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKKDWBEC","blogPost","2018","Wastell, Katherine","What we mean when we talk about service design at the Co-op","Co-op Digital Blog","","","","https://digitalblog.coop.co.uk/2018/10/25/what-we-mean-when-we-talk-about-service-design-at-the-co-op/","I wanted to write this post to explain what service design is at the Co-op. Service design helps build more inclusive teams as well as products and services that meet user and business needs. What …","2018-10-25","2018-10-26 16:02:14","2021-02-23 22:11:54","2018-10-26 16:02:14","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\matth\Zotero\storage\FV9LB3CI\what-we-mean-when-we-talk-about-service-design-at-the-co-op.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PE8GYYJ9","blogPost","2016","Hall, Jon","ITSM, DevOps, and why three-tier support should be replaced with Swarming.","Medium","","","","https://medium.com/@JonHall_/itsm-devops-and-why-the-three-tier-structure-must-be-replaced-with-swarming-91e76ba22304","The 3-tier support structure is ubiquitous in ITSM, but it is fundamentally at odds with DevOps principles. Swarming is a better answer.","2016-12-17","2018-10-26 15:54:30","2021-02-23 16:47:37","2018-10-26 15:54:30","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\42HW7BFA\itsm-devops-and-why-the-three-tier-structure-must-be-replaced-with-swarming-91e76ba22304.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YVWYJAL","blogPost","2017","Kitson, Jon","Squad Health Checks","Sky Betting & Gaming Technology Blog","","","","https://technology.skybettingandgaming.com/2017/02/01/squad-health-checks/","Enabling Continuous Improvement through regular introspection by the teams themselves.","2017-02-01","2018-10-26 12:00:18","2021-02-23 16:58:11","2018-10-26 12:00:18","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\VTL5ZZEK\squad-health-checks.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8QMZXPV","blogPost","2015","Overeem, Barry","How I Used the Spotify Squad Health Check Model – Barry Overeem – The Liberators","","","","","http://www.barryovereem.com/how-i-used-the-spotify-squad-health-check-model/","","2015-08-07","2018-10-26 11:58:53","2021-02-23 21:47:32","2018-10-26 11:58:53","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\matth\Zotero\storage\VCL7UFWI\how-i-used-the-spotify-squad-health-check-model.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLXHSCK9","blogPost","2014","Kniberg, Henrik","Squad Health Check model – visualizing what to improve","Labs","","","","https://labs.spotify.com/2014/09/16/squad-health-check-model/","(Download the cards & instructions as PDF or PPTX) (Translations of this article: Chinese, French) What is a squad health check model? A lot of companies experiment with ways of measuring and visualizing how their teams are doing. They’re usually called “maturity models”, and involve some sort of progression through different levels. The intent of these…","2014-09-16","2018-10-26 11:59:00","2021-02-23 16:58:51","2018-10-26 11:59:00","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\matth\Zotero\storage\AY6BREM7\squad-health-check-model.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3LYHAZ6","book","2009","Davies, Rachel; Sedley, Liz","Agile Coaching","","978-1-934356-43-2","","","","Discover how to coach your team to become more Agile. Agile Coaching de-mystifies agile practices--it's a practical guide to creating strong agile teams. Packed with useful tips from practicing agile coaches Rachel Davies and Liz Sedley, this book gives you coaching tools that you can apply whether you are a project manager, a technical lead, or working in a software team.To lead change, you need to expand your toolkit, and this book gives you the tools you need to make the transition from agile practitioner to agile coach. Agile Coaching is all about working with people to create great agile teams. You'll learn how to build a team that produces great software and has fun doing it. In the process, you'll grow a team that's self-sufficient and skillful.This book provides you with deeper knowledge of how agile practices work and how to inspire your team to improve. Discover how to coach your team through the agile lifecycle, from planning to writing software. Learn the secrets of running effective agile meetings and how to get your team following a consistent approach to creating software. You'll find chapters dedicated to introducing Test-Driven Development, designing Retrospectives, and making progress visible. Find out what works and what to avoid when introducing agile practices to your team. Throughout the book the authors share their personal coaching stories from experience with real teams, giving you insights into what works and what to avoid. Each chapter also covers hurdles that you and your team may face and what to do to clear them.","2009-09-07","2018-10-26 11:31:32","2021-02-23 16:33:18","","","250","","","","","","","","","","Pragmatic Bookshelf","Raleigh, N.C","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Agile-Coaching-Rachel-Davies/dp/1934356433/ref=sr_1_1?s=books&ie=UTF8&qid=1540553472&sr=1-1&keywords=rachel+davies+agile+coaching","TT refs","","","","","","","","","","","","","","","","","","","","","1 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
